排名,学校名称,标签,省市,类型,评分
76,中国矿业大学（北京）,双一流/211,北京,理工,304.9
77,福州大学,双一流/211,福建,理工,304.1
78,宁波大学,双一流,浙江,综合,300.7
79,合肥工业大学,双一流/211,安徽,理工,297.6
80,华南师范大学,双一流/211,广东,师范,295.9
81,南京邮电大学,双一流,江苏,理工,287.5
82,江苏大学,-,江苏,综合,286.7
83,华北电力大学,双一流/211,北京,理工,283.1
84,长安大学,双一流/211,陕西,理工,281.1
85,北京林业大学,双一流/211,北京,林业,279.4
86,贵州大学,双一流/211,贵州,综合,277.7
87,福建师范大学,-,福建,师范,277.4
88,湖南师范大学,双一流/211,湖南,师范,276.6
89,广西大学,双一流/211,广西,综合,276.4
90,南京林业大学,双一流,江苏,林业,275.1
91,扬州大学,-,江苏,综合,274.7
92,浙江师范大学,-,浙江,师范,273.5
93,海南大学,双一流/211,海南,综合,272.2
94,南京工业大学,-,江苏,理工,271.2
95,南京信息工程大学,双一流,江苏,理工,270.3
96,广东工业大学,-,广东,理工,269.8
97,杭州电子科技大学,-,浙江,理工,268.7
98,安徽大学,双一流/211,安徽,综合,265.9
99,首都师范大学,双一流,北京,师范,265.6
100,华南农业大学,双一流,广东,农业,264.8
101,山西大学,双一流,山西,综合,263.8
102,河南大学,双一流,河南,综合,262.3
103,太原理工大学,双一流/211,山西,理工,259.8
104,山东师范大学,-,山东,师范,259.4
105,广州大学,-,广东,综合,259.0
106,浙江理工大学,-,浙江,理工,258.8
107,湘潭大学,双一流,湖南,综合,258.0
108,上海理工大学,-,上海,理工,257.4
109,河北工业大学,双一流/211,河北,理工,255.5
110,大连海事大学,双一流/211,辽宁,综合,255.3
111,青岛大学,-,山东,综合,255.0
112,燕山大学,-,河北,理工,251.5
113,东北林业大学,双一流/211,黑龙江,林业,248.6
114,杭州师范大学,-,浙江,师范,248.5
115,西安建筑科技大学,-,陕西,理工,245.3
116,湖北大学,-,湖北,综合,245.1
117,昆明理工大学,-,云南,理工,244.8
118,内蒙古大学,双一流/211,内蒙古,综合,244.2
119,西安理工大学,-,陕西,理工,243.3
120,武汉科技大学,-,湖北,理工,241.5
121,江西师范大学,-,江西,师范,239.7
122,东北农业大学,双一流/211,黑龙江,农业,236.7
123,西南石油大学,双一流,四川,理工,236.7
124,上海师范大学,-,上海,师范,236.6
125,福建农林大学,-,福建,农业,235.8
126,温州大学,-,浙江,综合,233.1
127,长沙理工大学,-,湖南,理工,231.7
128,新疆大学,双一流/211,新疆,综合,231.7
129,河北大学,-,河北,综合,230.9
130,山东科技大学,-,山东,理工,229.9
131,辽宁大学,双一流/211,辽宁,综合,228.3
132,成都理工大学,双一流,四川,理工,228.1
133,山东农业大学,-,山东,农业,227.2
134,宁夏大学,双一流/211,宁夏,综合,222.8
135,华侨大学,-,福建,综合,222.5
136,陕西科技大学,-,陕西,理工,222.5
137,天津工业大学,双一流,天津,理工,222.1
138,长春理工大学,-,吉林,理工,221.6
139,安徽师范大学,-,安徽,师范,219.7
140,石河子大学,双一流/211,新疆,综合,218.8
141,四川农业大学,双一流/211,四川,农业,218.4
142,天津师范大学,-,天津,师范,216.7
143,上海海洋大学,双一流,上海,农业,216.2
144,江苏科技大学,-,江苏,理工,215.7
145,齐鲁工业大学,-,山东,理工,215.2
146,中国计量大学,-,浙江,理工,214.1
147,黑龙江大学,-,黑龙江,综合,213.9
148,安徽农业大学,-,安徽,农业,213.7
149,湖北工业大学,-,湖北,理工,213.7
150,浙江农林大学,-,浙江,林业,213.3
151,南通大学,-,江苏,综合,212.7
152,河南农业大学,-,河南,农业,211.0
153,重庆邮电大学,-,重庆,理工,210.2
154,常州大学,-,江苏,理工,209.2
155,广西师范大学,-,广西,师范,208.3
156,湖南农业大学,-,湖南,农业,208.0
157,曲阜师范大学,-,山东,师范,207.2
158,吉林农业大学,-,吉林,农业,206.8
159,武汉纺织大学,-,湖北,理工,206.7
160,武汉工程大学,-,湖北,理工,206.2
161,河南师范大学,-,河南,师范,205.7
162,天津科技大学,-,天津,理工,205.5
163,辽宁师范大学,-,辽宁,师范,205.2
164,江苏师范大学,-,江苏,师范,204.9
165,北京建筑大学,-,北京,理工,204.7
166,汕头大学,-,广东,综合,204.6
167,集美大学,-,福建,综合,204.4
168,青岛科技大学,-,山东,理工,204.2
169,三峡大学,-,湖北,综合,204.2
170,延边大学,双一流/211,吉林,综合,204.2
171,沈阳农业大学,-,辽宁,农业,204.0
172,河南科技大学,-,河南,综合,203.8
173,中北大学,-,山西,理工,202.1
174,济南大学,-,山东,综合,201.4
175,华东交通大学,-,江西,理工,200.5
176,上海海事大学,-,上海,综合,200.4
177,南昌航空大学,-,江西,理工,200.2
178,河北师范大学,-,河北,师范,198.5
179,西北师范大学,-,甘肃,师范,197.6
180,天津理工大学,-,天津,理工,195.8
181,湖南科技大学,-,湖南,综合,194.7
182,国际关系学院,-,北京,综合,193.9
183,沈阳航空航天大学,-,辽宁,理工,193.7
184,河南理工大学,-,河南,理工,192.7
185,长江大学,-,湖北,综合,191.8
186,上海电力大学,-,上海,理工,190.6
187,南华大学,-,湖南,综合,190.3
188,沈阳工业大学,-,辽宁,理工,190.3
189,重庆交通大学,-,重庆,理工,190.0
190,安徽工业大学,-,安徽,理工,189.3
191,江西理工大学,-,江西,理工,189.3
192,西安科技大学,-,陕西,理工,189.2
193,安徽理工大学,-,安徽,理工,188.8
194,山东理工大学,-,山东,理工,188.6
195,西藏大学,双一流/211,西藏,综合,188.1
196,江西农业大学,-,江西,农业,187.8
197,河北农业大学,-,河北,农业,187.3
198,青海大学,双一流/211,青海,综合,186.8
199,兰州理工大学,-,甘肃,理工,186.5
200,西安邮电大学,-,陕西,理工,185.4
201,桂林电子科技大学,-,广西,理工,184.6
202,四川师范大学,-,四川,师范,184.6
203,云南师范大学,-,云南,师范,183.6
204,北京信息科技大学,-,北京,理工,183.2
205,烟台大学,-,山东,综合,183.1
206,苏州科技大学,-,江苏,理工,182.8
207,中南林业科技大学,-,湖南,林业,182.4
208,西南科技大学,-,四川,理工,181.4
209,兰州交通大学,-,甘肃,理工,181.3
210,青岛理工大学,-,山东,理工,181.1
211,湖州师范学院,-,浙江,师范,180.7
212,西安工业大学,-,陕西,理工,178.7
213,哈尔滨师范大学,-,黑龙江,师范,177.7
214,东华理工大学,-,江西,理工,177.4
215,北方工业大学,-,北京,理工,177.3
216,北京电子科技学院,-,北京,理工,176.7
217,东北石油大学,-,黑龙江,理工,176.5
218,重庆师范大学,-,重庆,师范,176.0
219,沈阳建筑大学,-,辽宁,理工,175.7
220,内蒙古农业大学,-,内蒙古,农业,175.5
221,内蒙古师范大学,-,内蒙古,师范,175.2
222,大连工业大学,-,辽宁,理工,175.0
223,石家庄铁道大学,-,河北,理工,174.7
224,河南工业大学,-,河南,理工,174.5
225,嘉兴大学,-,浙江,综合,173.9
226,海南师范大学,-,海南,师范,173.6
227,山西农业大学,-,山西,农业,173.3
228,青岛农业大学,-,山东,农业,173.0
229,东北电力大学,-,吉林,理工,172.7
230,浙江海洋大学,-,浙江,农业,172.7
231,浙江科技大学,-,浙江,理工,172.6
232,成都大学,-,四川,综合,172.2
233,哈尔滨理工大学,-,黑龙江,理工,172.0
234,上海工程技术大学,-,上海,理工,171.3
235,西安石油大学,-,陕西,理工,170.7
236,上海应用技术大学,-,上海,理工,170.1
237,贵州师范大学,-,贵州,师范,169.7
238,河北科技大学,-,河北,理工,169.3
239,佛山大学,-,广东,理工,169.0
240,青海师范大学,-,青海,师范,168.8
241,甘肃农业大学,-,甘肃,农业,168.4
242,东莞理工学院,-,广东,理工,168.3
243,中国民航大学,-,天津,理工,167.6
244,重庆理工大学,-,重庆,理工,167.3
245,华北水利水电大学,-,河南,理工,167.2
246,武汉轻工大学,-,湖北,理工,166.9
247,鲁东大学,-,山东,综合,166.8
248,赣南师范大学,-,江西,师范,166.0
249,山东建筑大学,-,山东,理工,165.1
250,江汉大学,-,湖北,综合,164.8
251,浙大城市学院,-,浙江,理工,164.7
252,聊城大学,-,山东,综合,164.2
253,沈阳化工大学,-,辽宁,理工,163.8
254,桂林理工大学,-,广西,理工,163.1
255,成都信息工程大学,-,四川,理工,162.9
256,西安工程大学,-,陕西,理工,162.6
257,郑州轻工业大学,-,河南,理工,162.6
258,安徽工程大学,-,安徽,理工,162.2
259,西华师范大学,-,四川,师范,162.2
260,大连交通大学,-,辽宁,理工,162.0
261,南京工程学院,-,江苏,理工,161.9
262,上海海关学院,-,上海,综合,161.2
263,辽宁石油化工大学,-,辽宁,理工,160.1
264,沈阳理工大学,-,辽宁,理工,159.8
265,绍兴文理学院,-,浙江,师范,158.6
266,延安大学,-,陕西,综合,158.5
267,内蒙古工业大学,-,内蒙古,理工,158.1
268,沈阳大学,-,辽宁,综合,158.1
269,厦门理工学院,-,福建,理工,157.4
270,西华大学,-,四川,综合,157.3
271,长春工业大学,-,吉林,理工,157.2
272,沈阳师范大学,-,辽宁,师范,155.4
273,大连大学,-,辽宁,综合,155.1
274,华北理工大学,-,河北,综合,155.1
275,安徽建筑大学,-,安徽,理工,154.8
276,湖南工业大学,-,湖南,理工,154.7
277,井冈山大学,-,江西,综合,154.0
278,山西师范大学,-,山西,师范,153.6
279,辽宁工程技术大学,-,辽宁,理工,153.3
280,北京农学院,-,北京,农业,153.1
281,浙大宁波理工学院,-,浙江,理工,152.8
282,福建理工大学,-,福建,理工,151.9
283,常熟理工学院,-,江苏,理工,151.7
284,中原工学院,-,河南,理工,151.6
285,合肥大学,-,安徽,理工,151.4
286,重庆科技大学,-,重庆,理工,151.0
287,渤海大学,-,辽宁,综合,150.8
288,云南农业大学,-,云南,农业,150.5
289,台州学院,-,浙江,综合,150.4
290,大理大学,-,云南,综合,150.3
291,太原科技大学,-,山西,理工,150.0
292,黑龙江八一农垦大学,-,黑龙江,农业,149.8
293,宁波工程学院,-,浙江,理工,149.3
294,深圳技术大学,-,广东,综合,149.2
295,河北工程大学,-,河北,理工,148.6
296,辽宁科技大学,-,辽宁,理工,148.4
297,北京联合大学,-,北京,综合,148.3
298,北京石油化工学院,-,北京,理工,148.3
299,新疆农业大学,-,新疆,农业,148.0
300,吉首大学,-,湖南,综合,147.9
301,辽宁工业大学,-,辽宁,理工,147.9
302,北京印刷学院,-,北京,理工,147.7
303,闽南师范大学,-,福建,师范,147.5
304,淮阴工学院,-,江苏,理工,146.5
305,闽江学院,-,福建,理工,146.4
306,广东海洋大学,-,广东,农业,145.7
307,信阳师范大学,-,河南,师范,145.6
308,河北地质大学,-,河北,综合,145.5
309,北华大学,-,吉林,综合,144.9
310,吉林师范大学,-,吉林,师范,144.2
311,临沂大学,-,山东,综合,143.9
312,淮北师范大学,-,安徽,师范,143.7
313,大连海洋大学,-,辽宁,农业,143.6
314,南宁师范大学,-,广西,师范,143.5
315,盐城工学院,-,江苏,理工,143.4
316,吉林建筑大学,-,吉林,理工,143.3
317,无锡学院,-,江苏,综合,142.7
318,塔里木大学,-,新疆,综合,142.6
319,广东技术师范大学,-,广东,师范,142.5
320,长沙学院,-,湖南,理工,142.2
321,景德镇陶瓷大学,-,江西,理工,142.0
322,河南科技学院,-,河南,师范,141.9
323,江苏海洋大学,-,江苏,理工,141.9
324,天津城建大学,-,天津,理工,141.5
325,湖北师范大学,-,湖北,师范,141.3
326,贵州师范学院,-,贵州,师范,141.2
327,江西科技师范大学,-,江西,师范,141.0
328,西南林业大学,-,云南,林业,140.9
329,五邑大学,-,广东,综合,140.8
330,内蒙古科技大学,-,内蒙古,综合,140.0
331,南京晓庄学院,-,江苏,师范,139.9
332,长春师范大学,-,吉林,师范,139.8
333,长江师范学院,-,重庆,师范,139.2
334,重庆文理学院,-,重庆,综合,139.2
335,新疆师范大学,-,新疆,师范,139.1
336,安庆师范大学,-,安徽,师范,138.9
337,淮阴师范学院,-,江苏,师范,138.9
338,浙江万里学院,-,浙江,理工,138.8
339,江苏理工学院,-,江苏,理工,138.6
340,上海电机学院,-,上海,理工,138.4
341,上海第二工业大学,-,上海,理工,137.7
342,四川轻化工大学,-,四川,理工,137.5
343,常州工学院,-,江苏,理工,137.3
344,湖南理工学院,-,湖南,理工,136.7
345,盐城师范学院,-,江苏,师范,136.5
346,仲恺农业工程学院,-,广东,农业,136.3
347,湖北汽车工业学院,-,湖北,理工,135.3
348,广西科技大学,-,广西,理工,135.1
349,黄冈师范学院,-,湖北,师范,135.1
350,南昌工程学院,-,江西,理工,135.0
351,榆林学院,-,陕西,师范,134.3
352,金陵科技学院,-,江苏,理工,134.0
353,山东交通学院,-,山东,理工,134.0
354,湖北第二师范学院,-,湖北,师范,133.7
355,徐州工程学院,-,江苏,理工,133.6
356,天津农学院,-,天津,农业,132.0
357,泉州师范学院,-,福建,师范,131.8
358,湖北文理学院,-,湖北,综合,131.4
359,洛阳师范学院,-,河南,师范,131.0
360,天津职业技术师范大学,-,天津,师范,130.8
361,陕西理工大学,-,陕西,理工,130.6
362,湖南第一师范学院,-,湖南,师范,130.0
363,合肥师范学院,-,安徽,师范,129.8
364,广东石油化工学院,-,广东,综合,129.6
365,安徽科技学院,-,安徽,师范,128.9
366,绵阳师范学院,-,四川,师范,128.9
367,衢州学院,-,浙江,理工,128.8
368,贵阳学院,-,贵州,综合,128.6
369,惠州学院,-,广东,综合,128.5
370,三明学院,-,福建,综合,128.4
371,齐齐哈尔大学,-,黑龙江,综合,128.0
372,重庆三峡学院,-,重庆,综合,127.9
373,长春工程学院,-,吉林,理工,127.8
374,丽水学院,-,浙江,师范,127.8
375,衡阳师范学院,-,湖南,师范,127.5
376,西藏农牧学院,-,西藏,农业,127.4
377,攀枝花学院,-,四川,综合,127.2
378,湘南学院,-,湖南,理工,127.1
379,长春大学,-,吉林,综合,127.0
380,铜仁学院,-,贵州,综合,127.0
381,湖北科技学院,-,湖北,综合,126.9
382,洛阳理工学院,-,河南,综合,126.9
383,中国民用航空飞行学院,-,四川,理工,126.5
384,岭南师范学院,-,广东,师范,125.7
385,阜阳师范大学,-,安徽,师范,125.6
386,佳木斯大学,-,黑龙江,综合,125.6
387,黔南民族师范学院,-,贵州,师范,125.6
388,泰山学院,-,山东,综合,125.6
389,黑龙江科技大学,-,黑龙江,理工,125.5
390,龙岩学院,-,福建,综合,125.0
391,防灾科技学院,-,河北,理工,124.8
392,成都师范学院,-,四川,师范,124.6
393,内江师范学院,-,四川,师范,124.2
394,滁州学院,-,安徽,师范,123.9
395,湖北理工学院,-,湖北,理工,123.6
396,周口师范学院,-,河南,师范,123.3
397,河北科技师范学院,-,河北,师范,123.2
398,江苏第二师范学院,-,江苏,师范,123.2
399,山东航空学院,-,山东,理工,123.1
400,怀化学院,-,湖南,综合,122.8
401,沈阳工程学院,-,辽宁,理工,122.4
402,莆田学院,-,福建,综合,122.3
403,湖南城市学院,-,湖南,综合,122.2
404,北华航天工业学院,-,河北,理工,121.7
405,韶关学院,-,广东,综合,121.6
406,湖南工程学院,-,湖南,理工,121.4
407,曲靖师范学院,-,云南,师范,121.2
408,湖南文理学院,-,湖南,综合,120.9
409,浙江水利水电学院,-,浙江,理工,120.9
410,潍坊学院,-,山东,综合,120.8
411,宜宾学院,-,四川,综合,120.7
412,德州学院,-,山东,综合,120.4
413,皖西学院,-,安徽,师范,120.4
414,南阳师范学院,-,河南,师范,119.9
415,北部湾大学,-,广西,综合,119.8
416,贵州理工学院,-,贵州,理工,119.7
417,湖南科技学院,-,湖南,综合,119.7
418,枣庄学院,-,山东,综合,119.6
419,牡丹江师范学院,-,黑龙江,师范,119.5
420,宿迁学院,-,江苏,综合,119.4
421,太原师范学院,-,山西,师范,119.2
422,邵阳学院,-,湖南,理工,119.1
423,广东第二师范学院,-,广东,师范,119.0
424,玉林师范学院,-,广西,师范,119.0
425,石家庄学院,-,河北,师范,118.9
426,通化师范学院,-,吉林,师范,118.8
427,西安文理学院,-,陕西,师范,118.8
428,河南工程学院,-,河南,理工,118.3
429,肇庆学院,-,广东,综合,118.3
430,遵义师范学院,-,贵州,师范,118.3
431,黑龙江工程学院,-,黑龙江,理工,117.9
432,昆明学院,-,云南,综合,117.9
433,宁德师范学院,-,福建,师范,117.7
434,南阳理工学院,-,河南,理工,117.0
435,武夷学院,-,福建,综合,117.0
436,黄淮学院,-,河南,师范,116.8
437,宜春学院,-,江西,综合,116.6
438,吉林化工学院,-,吉林,理工,116.5
439,许昌学院,-,河南,理工,116.2
440,韩山师范学院,-,广东,师范,116.0
441,上饶师范学院,-,江西,师范,116.0
442,宝鸡文理学院,-,陕西,师范,115.9
443,重庆第二师范学院,-,重庆,师范,115.9
444,乐山师范学院,-,四川,师范,115.9
445,淮南师范学院,-,安徽,师范,115.8
446,温州理工学院,-,浙江,理工,115.8
447,安阳师范学院,-,河南,师范,115.7
448,西昌学院,-,四川,综合,115.5
449,广州航海学院,-,广东,理工,115.3
450,河南城建学院,-,河南,理工,115.1
451,齐鲁师范学院,-,山东,师范,115.0
452,湖州学院,-,浙江,师范,114.8
453,天水师范学院,-,甘肃,师范,114.6
454,湖南人文科技学院,-,湖南,师范,114.4
455,唐山师范学院,-,河北,师范,114.4
456,商丘师范学院,-,河南,师范,114.3
457,成都工业学院,-,四川,理工,114.2
458,六盘水师范学院,-,贵州,师范,114.2
459,巢湖学院,-,安徽,师范,114.0
460,贺州学院,-,广西,综合,113.9
461,内蒙古科技大学包头师范学院,-,内蒙古,综合,113.9
462,平顶山学院,-,河南,师范,113.9
463,南昌师范学院,-,江西,师范,113.6
464,渭南师范学院,-,陕西,师范,113.6
465,宁夏师范大学,-,宁夏,师范,113.2
466,湖南工学院,-,湖南,理工,113.1
467,鞍山师范学院,-,辽宁,师范,112.8
468,哈尔滨学院,-,黑龙江,综合,112.6
469,湖北工程学院,-,湖北,综合,112.6
470,吉林工程技术师范学院,-,吉林,师范,112.5
471,廊坊师范学院,-,河北,师范,112.3
472,西安航空学院,-,陕西,理工,112.2
473,信阳农林学院,-,河南,农业,111.8
474,山西大同大学,-,山西,综合,111.6
475,黄山学院,-,安徽,师范,111.4
476,嘉应学院,-,广东,综合,111.4
477,福建技术师范学院,-,福建,师范,111.1
478,四川旅游学院,-,四川,综合,110.9
479,咸阳师范学院,-,陕西,师范,110.9
480,南京特殊教育师范学院,-,江苏,师范,110.8
481,宿州学院,-,安徽,师范,110.8
482,凯里学院,-,贵州,综合,110.5
483,海南热带海洋学院,-,海南,综合,110.4
484,九江学院,-,江西,综合,110.4
485,山东管理学院,-,山东,综合,110.0
486,玉溪师范学院,-,云南,师范,109.8
487,安阳工学院,-,河南,理工,109.7
488,新乡学院,-,河南,理工,109.7
489,河西学院,-,甘肃,综合,109.6
490,太原工业学院,-,山西,理工,109.5
491,山东女子学院,-,山东,综合,109.1
492,伊犁师范大学,-,新疆,师范,109.1
493,河北建筑工程学院,-,河北,理工,108.7
494,赤峰学院,-,内蒙古,综合,108.1
495,琼台师范学院,-,海南,师范,107.8
496,陇东学院,-,甘肃,师范,107.7
497,苏州城市学院,-,江苏,综合,107.7
498,营口理工学院,-,辽宁,理工,107.6
499,大庆师范学院,-,黑龙江,综合,107.0
500,华北科技学院,-,河北,理工,106.8
501,阿坝师范学院,-,四川,师范,-
502,安康学院,-,陕西,综合,-
503,安顺学院,-,贵州,综合,-
504,白城师范学院,-,吉林,师范,-
505,百色学院,-,广西,综合,-
506,保定学院,-,河北,师范,-
507,保山学院,-,云南,师范,-
508,蚌埠学院,-,安徽,理工,-
509,亳州学院,-,安徽,师范,-
510,沧州师范学院,-,河北,师范,-
511,昌吉学院,-,新疆,师范,-
512,长沙师范学院,-,湖南,师范,-
513,长治学院,-,山西,师范,-
514,池州学院,-,安徽,师范,-
515,楚雄师范学院,-,云南,师范,-
516,滇西科技师范学院,-,云南,师范,-
517,滇西应用技术大学,-,云南,综合,-
518,鄂尔多斯应用技术学院,-,内蒙古,综合,-
519,赣东学院,-,江西,理工,-
520,赣南科技学院,-,江西,理工,-
521,甘肃民族师范学院,-,甘肃,师范,-
522,广西科技师范学院,-,广西,师范,-
523,广西民族师范学院,-,广西,师范,-
524,广西职业师范学院,-,广西,综合,-
525,桂林航天工业学院,-,广西,理工,-
526,贵州工程应用技术学院,-,贵州,师范,-
527,邯郸学院,-,河北,师范,-
528,汉江师范学院,-,湖北,师范,-
529,河北环境工程学院,-,河北,综合,-
530,河北民族师范学院,-,河北,师范,-
531,河北水利电力学院,-,河北,理工,-
532,河池学院,-,广西,综合,-
533,合肥理工学院,-,安徽,综合,-
534,黑河学院,-,黑龙江,综合,-
535,黑龙江工业学院,-,黑龙江,理工,-
536,河南工学院,-,河南,理工,-
537,河南牧业经济学院,-,河南,农业,-
538,衡水学院,-,河北,师范,-
539,河套学院,-,内蒙古,综合,-
540,菏泽学院,-,山东,综合,-
541,红河学院,-,云南,综合,-
542,呼伦贝尔学院,-,内蒙古,综合,-
543,吉林农业科技学院,-,吉林,农业,-
544,荆楚理工学院,-,湖北,理工,-
545,景德镇学院,-,江西,综合,-
546,集宁师范学院,-,内蒙古,师范,-
547,济宁学院,-,山东,师范,-
548,晋中学院,-,山西,师范,-
549,喀什大学,-,新疆,师范,-
550,兰州城市学院,-,甘肃,综合,-
551,兰州工业学院,-,甘肃,理工,-
552,兰州文理学院,-,甘肃,综合,-
553,辽东学院,-,辽宁,综合,-
554,辽宁科技学院,-,辽宁,理工,-
555,吕梁学院,-,山西,师范,-
556,萍乡学院,-,江西,综合,-
557,普洱学院,-,云南,师范,-
558,山东农业工程学院,-,山东,综合,-
559,山东青年政治学院,-,山东,综合,-
560,山东石油化工学院,-,山东,理工,-
561,商洛学院,-,陕西,综合,-
562,山西电子科技学院,-,山西,理工,-
563,山西工程技术学院,-,山西,理工,-
564,山西工学院,-,山西,理工,-
565,山西科技学院,-,山西,理工,-
566,山西能源学院,-,山西,综合,-
567,陕西学前师范学院,-,陕西,师范,-
568,四川民族学院,-,四川,师范,-
569,四川文理学院,-,四川,综合,-
570,绥化学院,-,黑龙江,综合,-
571,太原学院,-,山西,理工,-
572,泰州学院,-,江苏,师范,-
573,唐山学院,-,河北,理工,-
574,天津中德应用技术大学,-,天津,理工,-
575,文山学院,-,云南,师范,-
576,梧州学院,-,广西,综合,-
577,邢台学院,-,河北,师范,-
578,兴义民族师范学院,-,贵州,师范,-
579,新疆工程学院,-,新疆,理工,-
580,新疆理工学院,-,新疆,综合,-
581,新疆政法学院,-,新疆,综合,-
582,新余学院,-,江西,综合,-
583,忻州师范学院,-,山西,师范,-
584,运城学院,-,山西,师范,-
585,豫章师范学院,-,江西,师范,-
586,张家口学院,-,河北,综合,-
587,昭通学院,-,云南,师范,-
588,郑州工程技术学院,-,河南,理工,-
589,郑州师范学院,-,河南,师范,-
